object_id,canonical_label,model_version,target_minutes,rows,mean_error,median_error,mae,rmse,p05_error,p95_error,mean_ci_width,ci_coverage
machine_2,Machine,LGBM tuned,10.0,1408,0.06693523972526337,0.15718455147638183,0.3087961728964905,0.4336823363943801,-0.8525660790747988,0.5036032724332096,,
machine_2,Machine,XGBoost baseline,5.0,1426,0.06861768671929781,0.1558726852416985,0.30459816045671767,0.4266469400749501,-0.7563849036865244,0.5385371259765623,1.1677066143057504,0.8485273492286115
machine_2,Machine,XGBoost baseline,10.0,1408,0.10339980461398034,0.20921881805419845,0.35903480872102217,0.48368585866773073,-0.9323431232971193,0.6028645341247562,1.361315004971591,0.8373579545454546
machine_2,Machine,XGBoost tuned,5.0,1426,0.026718348041207998,0.10308853491210884,0.2696261545321985,0.40569832300023323,-0.7354271947326669,0.46358115463256855,1.3601869901823282,0.9207573632538569
machine_2,Machine,XGBoost tuned,10.0,1408,0.06334926551055903,0.15569968908691395,0.31289906946875834,0.44460554442165284,-0.8809670351745598,0.5198982578247063,1.6190364517045452,0.9318181818181818
machine_3,Machine,LGBM baseline,5.0,253,0.24128660713106106,0.24817342738055,0.26721487156653234,0.30379287916897096,-0.05926154919510362,0.5159476676325928,,
machine_3,Machine,LGBM baseline,10.0,248,0.2731963867496141,0.2795206486939854,0.30110552057210244,0.34768800549522755,-0.07682039614555809,0.603446062766206,,
machine_3,Machine,LGBM tuned,5.0,253,0.1411505813062769,0.128052039383153,0.18000709135460113,0.2240569806541082,-0.13931393630177447,0.4314692532552037,,
machine_3,Machine,LGBM tuned,10.0,248,0.22784042492799852,0.24927872683220895,0.2656244542795388,0.2976505346943227,-0.10097197943671392,0.4759475120986777,,
machine_3,Machine,XGBoost baseline,5.0,253,0.21610299790839999,0.2189335623779307,0.24076275978733716,0.27443776693385974,-0.04054497673339901,0.4722375474853513,0.9372128735177865,0.782608695652174
machine_3,Machine,XGBoost baseline,10.0,248,0.3356612362031013,0.3563147711791998,0.35914793003796,0.3940557709038925,-0.01559853367309474,0.6220364335144044,0.8539420362903225,0.41935483870967744
machine_3,Machine,XGBoost tuned,5.0,253,0.16858623917434148,0.167548840087889,0.19679644821372055,0.2325095160446785,-0.07978276762695267,0.43532986831054776,1.0386568023715412,0.849802371541502
machine_3,Machine,XGBoost tuned,10.0,248,0.284432689875941,0.30270508001708935,0.30742045698842696,0.3349800296438481,-0.012258391485596312,0.5208758952392585,1.1722862741935483,0.7258064516129032
machine_4,Machine,LGBM baseline,5.0,789,0.059117215592853656,0.091249217629759,0.23939679595477548,0.3229714758721916,-0.5655211896265776,0.47465906131152424,,
machine_4,Machine,LGBM baseline,10.0,768,0.056184013903098885,0.0975883246063613,0.3184169395702912,0.407275380048933,-0.6857281025750781,0.6190441050187013,,
machine_4,Machine,LGBM tuned,5.0,789,0.032661062384991967,0.0545515663304456,0.24046156765216464,0.3293820779905826,-0.6273289329959034,0.48318633067771366,,
machine_4,Machine,LGBM tuned,10.0,768,0.02905282601373005,0.07306163416941655,0.26309375107616795,0.35880600224663867,-0.6767784888378141,0.4898786008960929,,
machine_4,Machine,XGBoost baseline,5.0,789,0.05256565898691227,0.0885350395507806,0.2394800991789572,0.3251384767522494,-0.6076042078857433,0.4829120474365229,1.0501996096324462,0.8986058301647655
machine_4,Machine,XGBoost baseline,10.0,768,0.06297536767721172,0.11538023742675735,0.2784972473044396,0.36363167187016787,-0.6494762746276856,0.5136310207336432,1.2140723046875002,0.8958333333333334
machine_4,Machine,XGBoost tuned,5.0,789,0.003843238329521098,0.0147684178466782,0.2181067206065827,0.31175007387762066,-0.58966560769043,0.42913811052246137,1.161178442332066,0.9290240811153359
machine_4,Machine,XGBoost tuned,10.0,768,0.014453245472907966,0.05619651373290855,0.25529931120173144,0.3512084946975038,-0.6465612386352539,0.45936878389892444,1.3405012734375,0.9270833333333334
machine_6,Machine,LGBM baseline,5.0,1605,0.11086094544906704,0.1441876883736448,0.31577947819508984,0.4111504388865068,-0.6249634338658538,0.6671118696856231,,
machine_6,Machine,LGBM baseline,10.0,1606,0.08323046333793618,0.1087581978254661,0.3289243024670724,0.44323954010082933,-0.7175904147380852,0.7093234856002848,,
machine_6,Machine,LGBM tuned,5.0,1605,0.048975142921000324,0.0842526806071504,0.29310652375315754,0.3949968841200425,-0.711772583093326,0.5703608491719769,,
machine_6,Machine,LGBM tuned,10.0,1606,0.03862864735303829,0.0865290703351462,0.3025974703720778,0.41204415450499116,-0.7217403297506042,0.6101162909572491,,
machine_6,Machine,XGBoost baseline,5.0,1605,0.06374100374721636,0.1084537685546891,0.2955830296497,0.3938833932326999,-0.6906422926025406,0.5952690970458995,1.4122206062305298,0.9271028037383178
