split,object_id,canonical_label,requested_horizon_min,rows,mae,rmse,r2,mean_error,ci_width_mean,ci_coverage
test,machine_4,Machine,15.0,26,0.6585868890868274,0.8846354660397313,0.006503604228262683,0.18092151799927952,0.954558415811901,0.34615384615384615
test,machine_4,Machine,20.0,26,0.6474663029457131,0.7727104994522681,-0.0759321569654603,0.29114233490962566,1.060082223067467,0.46153846153846156
test,machine_4,Machine,30.0,21,0.9227101847091138,1.0428853245601521,0.01866332211198496,0.22330293588763675,1.34980110711383,0.3333333333333333
test,machine_4,Machine,45.0,18,1.58137847084375,1.7624883247484586,-1.3084100305314053,-1.3527568040738325,1.529396442334539,0.1111111111111111
test,machine_4,Machine,60.0,15,2.1575094636298746,2.3237687652695302,-2.1475400355231717,-1.9266473835803142,1.6599052274613868,0.4
test,machine_4,Machine,90.0,10,1.9724624007633902,2.028900696940219,-15.762123080268996,-1.9724624007633902,1.6446435903072625,0.3
test,machine_4,Machine,120.0,3,0.7744256285312723,0.7744256285312723,,-0.7744256285312723,1.1158834016289774,0.0
test,machine_6,Machine,5.0,616,0.4861187483732952,0.655165228311532,0.13179718920616423,-0.17467242907433767,1.6320504876237207,0.862012987012987
test,machine_6,Machine,10.0,673,0.49367351709497226,0.6439016954017395,0.1354952597394441,-0.16135239767599888,1.658487549496361,0.8528974739970282
test,machine_6,Machine,15.0,675,0.503380375111343,0.6599204636510214,0.08771090816045846,-0.18422943366930974,1.6930868544013558,0.837037037037037
test,machine_6,Machine,20.0,676,0.4911717480310422,0.6393044780515588,0.07934347863082192,-0.1847700282966248,1.736280995956058,0.8757396449704142
test,machine_6,Machine,30.0,671,0.47941484658180256,0.6192171532072754,0.06286201258254376,-0.16505318094619273,1.8441717908220163,0.8643815201192251
test,machine_6,Machine,45.0,657,0.5127278246203063,0.6695648187910405,-0.01989591822866643,-0.22096784025648528,1.8597387673105228,0.8538812785388128
test,machine_6,Machine,60.0,628,0.5272164743079935,0.6928150995872429,-0.07742803721408897,-0.2651127048955939,1.9225949506178712,0.8630573248407644
test,machine_6,Machine,90.0,592,0.5645697345766418,0.7849376309643059,-0.17071723663353788,-0.33076772602456816,1.9501531337426083,0.8496621621621622
test,machine_6,Machine,120.0,572,0.5556341119237684,0.7260791406937025,-0.1947418468313531,-0.2527177126258459,1.8659955888709245,0.7657342657342657
test,screen_1,Screen,5.0,1820,0.7511651819458958,1.0333860167034976,0.3364925430047252,-0.44573971624878406,2.844680505524785,0.8752747252747253
test,screen_1,Screen,10.0,1814,0.8513000081208465,1.1611659231419542,0.19566968079129654,-0.4777472623255777,2.978438769053074,0.8517089305402425
test,screen_1,Screen,15.0,1797,0.923148251170147,1.2692595892904799,0.07046968016811761,-0.5234625880341381,3.104970718507599,0.8308291597106289
test,screen_1,Screen,20.0,1777,0.9855370315943505,1.3784430808153052,-0.05991744791620146,-0.598140497721718,3.176550808274321,0.8339898705683737
test,screen_1,Screen,30.0,1739,1.1202064050438998,1.5618207870938887,-0.27777607625106193,-0.7160628120297353,3.371520348485407,0.843588269120184
test,screen_1,Screen,45.0,1687,1.2904797825982075,1.7982849804503527,-0.5042825018662538,-0.880631015876931,3.540196065870607,0.8316538233550682
test,screen_1,Screen,60.0,1630,1.4250169741655119,1.9743157638603475,-0.7095416959439591,-1.0560762354657276,3.6969831100791635,0.8085889570552147
test,screen_1,Screen,90.0,1523,1.486618745472096,2.0811789385906962,-0.7467590920746761,-1.1481190284316578,3.805908555511856,0.7872619829284307
test,screen_1,Screen,120.0,1449,1.6020457341622627,2.136600460110107,-0.8192794912216583,-1.1520748759852943,3.9031492844623012,0.810904071773637
