number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_lambda,user_attrs_best_iteration,user_attrs_valid_mae,user_attrs_valid_r2,state
32,0.5719587672861285,2026-05-27 00:53:11.724899,2026-05-27 00:53:13.094126,0 days 00:00:01.369227,0.06071549267054383,8,128,53,0.03284810902714524,54,0.43223187709203076,0.4597824095751125,COMPLETE
33,0.5732112278298983,2026-05-27 00:53:13.094162,2026-05-27 00:53:14.059410,0 days 00:00:00.965248,0.06518763997983547,5,152,30,0.15452763777246523,102,0.4359710406191755,0.45741391010368737,COMPLETE
34,0.5631132169583297,2026-05-27 00:53:14.059444,2026-05-27 00:53:15.609809,0 days 00:00:01.550365,0.04891485912694869,9,166,62,0.0012901899175363602,84,0.4219316436052447,0.4763625246671317,COMPLETE
35,0.5642489715068575,2026-05-27 00:53:15.609852,2026-05-27 00:53:17.288835,0 days 00:00:01.678983,0.047228817171968286,9,184,77,0.00040362188844661365,98,0.42382938323908076,0.4742481242886887,COMPLETE
36,0.5587786630898497,2026-05-27 00:53:17.288868,2026-05-27 00:53:18.997827,0 days 00:00:01.708959,0.04767900838150994,10,199,79,0.00020116039695574183,84,0.4179464276706691,0.48439287861623326,COMPLETE
37,0.5638340634361472,2026-05-27 00:53:18.997863,2026-05-27 00:53:20.585007,0 days 00:00:01.587144,0.04953029094452552,10,196,79,2.942706446695173e-05,78,0.42499922480836433,0.4750210401669227,COMPLETE
38,0.5633416692075267,2026-05-27 00:53:20.585038,2026-05-27 00:53:22.731402,0 days 00:00:02.146364,0.050263127935370695,12,180,80,2.468656299751474e-05,70,0.4223380927711229,0.47593756421061584,COMPLETE
39,0.5610504660145127,2026-05-27 00:53:22.731436,2026-05-27 00:53:24.529530,0 days 00:00:01.798094,0.05436070694059609,12,190,84,2.6764646218808008e-05,74,0.42117042606632576,0.4801917914456345,COMPLETE
40,0.5631295924830723,2026-05-27 00:53:24.529563,2026-05-27 00:53:26.339092,0 days 00:00:01.809529,0.05837150233763344,12,180,97,8.682115368169734e-06,64,0.42286782080302376,0.47633206911093173,COMPLETE
41,0.5623707314600593,2026-05-27 00:53:26.339124,2026-05-27 00:53:28.309246,0 days 00:00:01.970122,0.057559668053373425,12,181,99,8.308253904318215e-06,64,0.42198266633098963,0.47774248486338755,COMPLETE
42,0.5723675945702175,2026-05-27 00:53:28.309283,2026-05-27 00:53:29.912999,0 days 00:00:01.603716,0.06495620880089484,12,188,113,2.653511794930922e-06,60,0.4314910695194534,0.45900985520558935,COMPLETE
43,0.5645489316698178,2026-05-27 00:53:29.913032,2026-05-27 00:53:31.619917,0 days 00:00:01.706885,0.060648290075494334,11,179,92,0.00010667145645985648,56,0.42361874244420233,0.47368898623111344,COMPLETE
44,0.584983537723647,2026-05-27 00:53:31.619952,2026-05-27 00:53:33.796921,0 days 00:00:02.176969,0.05878508494719615,12,20,100,1.7160973839152252e-07,60,0.4413365458837298,0.4348983599963624,COMPLETE
45,0.5690033253851158,2026-05-27 00:53:33.796954,2026-05-27 00:53:35.420163,0 days 00:00:01.623209,0.054479859063034555,11,192,112,9.32122389082148e-06,67,0.428603428761044,0.4653508415736787,COMPLETE
46,0.5676238276012766,2026-05-27 00:53:35.420196,2026-05-27 00:53:37.654069,0 days 00:00:02.233873,0.03763386196522124,12,169,86,8.260109811955864e-07,102,0.42732603823644866,0.46794011737392827,COMPLETE
47,0.5857606779480441,2026-05-27 00:53:37.654105,2026-05-27 00:53:41.043894,0 days 00:00:03.389789,0.06857145774098908,11,59,97,0.0001032367370587796,59,0.4467288130226668,0.4333959077144073,COMPLETE
48,0.5719235913806043,2026-05-27 00:53:41.044043,2026-05-27 00:53:43.448160,0 days 00:00:02.404117,0.0436477849680394,12,182,119,1.4040251027249827e-07,99,0.4341233805179645,0.4598488551291331,COMPLETE
49,0.5650099492979221,2026-05-27 00:53:43.448196,2026-05-27 00:53:46.646059,0 days 00:00:03.197863,0.03768678618449818,11,128,106,8.851804154180535e-06,114,0.4243162252952091,0.4728290511131571,COMPLETE
