object_id,label,model_version,target_minutes,rows,mean_error,median_error,mae,rmse,p05_error,p95_error,mean_ci_width,ci_coverage
machine_3,Machine,XGBoost baseline,10.0,1810,-0.10131548360490228,0.021730424919432702,0.6059498961073247,0.9288836620319122,-1.7006943702697774,1.0203408241271983,2.294308743093923,0.8856353591160221
machine_3,Machine,XGBoost baseline,20.0,1772,-0.15180421470321487,-0.005289077758789,0.6951848874286785,1.04401421656242,-1.9460023880004882,1.1441193575771471,2.5209801523702033,0.8549661399548533
machine_3,Machine,XGBoost tuned,10.0,1810,-0.0942857268165115,0.031459808349611096,0.6066017720217083,0.941152616014571,-1.7743619918823241,1.0534675598144527,2.3790639475138122,0.905524861878453
machine_3,Machine,XGBoost tuned,20.0,1772,-0.14418923292489563,0.0073413848876953,0.6912749863504641,1.0491545031317764,-1.8930986404418944,1.13544864654541,2.8616691202031603,0.9068848758465011
machine_4,Machine,LGBM baseline,10.0,633,-0.0325709273988603,0.1059288194356362,0.5095017437144321,0.7561442264573428,-1.3509423526048132,0.8942177887188447,,
machine_4,Machine,LGBM baseline,20.0,616,0.15246301494424405,0.275516649767491,0.5761053590017746,0.7641256914068166,-1.2569963525671755,1.1431110501592805,,
machine_4,Machine,LGBM tuned,10.0,633,-0.01426583200976902,0.1015383180111122,0.5027578760976008,0.749755078349697,-1.3685751173195158,0.9314641705972653,,
machine_4,Machine,LGBM tuned,20.0,616,0.09512216719518402,0.20557342359168546,0.5459101632152238,0.7447412634720217,-1.3484904456992515,1.023695080576999,,
machine_4,Machine,XGBoost baseline,10.0,633,-0.013567302254393914,0.114288330078125,0.505672759125182,0.7478716687941895,-1.332941436767578,0.9197628021240227,2.55090714849921,0.8783570300157978
machine_4,Machine,XGBoost baseline,20.0,616,0.1477245138221006,0.2621011734008807,0.580854586132955,0.7628807621199407,-1.2858085632324219,1.1450757980346644,2.716233025974026,0.8668831168831169
machine_4,Machine,XGBoost tuned,10.0,633,-0.02800241802641825,0.0965023040771448,0.4986481478143203,0.7461584349286671,-1.351566696166992,0.9203014373779295,2.8325072259083726,0.9004739336492891
machine_4,Machine,XGBoost tuned,20.0,616,0.12166341242883444,0.2368917465209961,0.5519752408955204,0.7411902311086952,-1.2936015129089358,0.9967989909851056,3.178119553571429,0.9204545454545454
